ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650433631.107688,public.usertable,100000,0,117096448,16552,public,usertable,1,0,0,0,100000,0,0,0,100000,0,100000,100000,,,,,0,0,0,0
1650433632.125661,public.usertable,100000,0,117170176,16552,public,usertable,1,0,1,1,100000,0,0,0,100000,0,100000,100000,,,,,0,0,0,0
1650433633.15374,public.usertable,100060,171,117448704,16552,public,usertable,1,0,395,5597,100179,52,119,5,100060,171,100350,100179,,,,,0,0,0,0
1650433634.1818197,public.usertable,100135,334,117760000,16552,public,usertable,1,0,877,13171,100343,127,208,13,100135,334,100678,100343,,,,,0,0,0,0
1650433635.2111633,public.usertable,100248,503,118095872,16552,public,usertable,1,0,1389,19012,100546,206,298,22,100248,503,101050,100546,,,,,0,0,0,0
1650433636.2436278,public.usertable,100349,683,118374400,16552,public,usertable,1,0,1948,24377,100753,285,404,36,100349,683,101442,100753,,,,,0,0,0,0
1650433637.2764595,public.usertable,100457,771,118603776,16552,public,usertable,1,0,2271,29251,100914,326,457,43,100457,771,101697,100914,,,,,0,0,0,0
1650433638.305325,public.usertable,100520,887,118800384,16552,public,usertable,1,0,2660,34262,101053,371,533,51,100520,887,101957,101053,,,,,0,0,0,0
1650433639.3355505,public.usertable,100574,986,118939648,16552,public,usertable,1,0,2988,40376,101167,412,593,58,100574,986,102172,101167,,,,,0,0,0,0
1650433640.364854,public.usertable,100658,1122,119119872,16552,public,usertable,1,0,3434,47196,101322,480,664,69,100658,1122,102466,101322,,,,,0,0,0,0
1650433641.3945394,public.usertable,100731,1232,119332864,16552,public,usertable,1,0,3778,50065,101456,530,725,81,100731,1232,102711,101456,,,,,0,0,0,0
1650433642.423568,public.usertable,100797,1339,119537664,16552,public,usertable,1,0,4123,53524,101588,573,791,89,100797,1339,102952,101588,,,,,0,0,0,0
1650433643.4558175,public.usertable,100883,1454,119750656,16552,public,usertable,1,0,4552,58311,101738,626,855,103,100883,1454,103219,101738,,,,,0,0,0,0
1650433644.484679,public.usertable,100945,1573,119971840,16552,public,usertable,1,0,4926,62176,101877,677,932,117,100945,1573,103486,101877,,,,,0,0,0,0
1650433645.5128305,public.usertable,101027,1741,120274944,16552,public,usertable,1,0,5461,67714,102062,747,1035,123,101027,1741,103844,102062,,,,,0,0,0,0
1650433646.5421793,public.usertable,101171,1867,120594432,16552,public,usertable,1,0,5974,74045,102276,804,1105,131,101171,1867,104185,102276,,,,,0,0,0,0
1650433647.573295,public.usertable,101310,1977,120881152,16552,public,usertable,1,0,6461,82205,102466,870,1156,144,101310,1977,104492,102466,,,,,0,0,0,0
1650433648.6031504,public.usertable,101420,2104,121159680,16552,public,usertable,1,0,6973,90280,102648,927,1228,152,101420,2104,104803,102648,,,,,0,0,0,0
1650433649.631895,public.usertable,101528,2248,121446400,16552,public,usertable,1,0,7515,95365,102832,1000,1304,164,101528,2248,105136,102832,,,,,0,0,0,0
1650433650.6607478,public.usertable,101641,2397,121749504,16552,public,usertable,1,0,8063,102853,103032,1064,1391,178,101641,2397,105487,103032,,,,,0,0,0,0
1650433651.688832,public.usertable,101750,2550,122052608,16552,public,usertable,1,0,8633,107566,103221,1138,1471,195,101750,2550,105830,103221,,,,,0,0,0,0
1650433652.7196727,public.usertable,101839,2690,122314752,16552,public,usertable,1,0,9153,112150,103389,1199,1550,209,101839,2690,106138,103389,,,,,0,0,0,0
1650433653.750414,public.usertable,101951,2833,122601472,16552,public,usertable,1,0,9716,116847,103568,1284,1617,219,101951,2833,106469,103568,,,,,0,0,0,0
1650433654.7793605,public.usertable,102065,2978,122888192,16552,public,usertable,1,0,10283,122341,103772,1344,1707,234,102065,2978,106823,103772,,,,,0,0,0,0
1650433655.8085847,public.usertable,102106,3022,122945536,16552,public,usertable,1,0,10462,124752,103836,1370,1730,238,102106,3022,106936,103836,,,,,0,0,0,0
1650433656.8400815,public.usertable,102239,3166,123281408,16552,public,usertable,1,0,11068,129966,104066,1420,1827,249,102239,3166,107313,104066,,,,,0,0,0,0
1650433657.8686438,public.usertable,102380,3304,123592704,16552,public,usertable,1,0,11650,135671,104291,1479,1911,263,102380,3304,107681,104291,,,,,0,0,0,0
