ds,table_name,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count,pg_table_size
1650403986.607872,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,128794624
1650403987.6155515,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,128843776
1650403988.6198034,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,129286144
1650403989.623449,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,129753088
1650403990.627039,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,130260992
1650403991.6297345,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,130768896
1650403992.6331635,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,131260416
1650403993.636632,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,131743744
1650403994.639171,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,132210688
1650403995.6421173,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,132636672
1650403996.6458585,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,133111808
1650403997.649273,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,133603328
1650403998.6527088,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,134045696
1650403999.6564746,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,134496256
1650404000.6595116,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,134995968
1650404001.6624868,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,135405568
1650404002.6657622,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,135929856
1650404003.6693447,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,136396800
1650404004.672931,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,136798208
1650404005.6764967,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,137224192
1650404006.680038,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,137682944
1650404007.6828022,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,138133504
1650404008.6862116,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,138543104
1650404009.6898668,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,138985472
1650404010.6934834,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,139419648
1650404011.6967132,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,139870208
1650404012.7002997,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,140312576
1650404013.7038817,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,140730368
1650404014.7072668,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,141164544
1650404015.7116723,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,141508608
1650404016.717126,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,141811712
1650404017.7209084,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,142245888
1650404018.7248547,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,142680064
1650404019.7284894,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,143097856
1650404020.732079,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,143523840
1650404021.7356608,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,143917056
1650404022.7392032,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,144384000
1650404023.7431486,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,144785408
1650404024.7466254,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,145186816
1650404025.7509558,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,145620992
1650404026.7544684,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,146038784
1650404027.764163,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,146448384
1650404028.7673259,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,146898944
1650404029.7708974,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,147275776
1650404030.7752087,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,147718144
1650404031.7790635,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,148168704
1650404032.7817528,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,148537344
1650404033.7847562,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,148938752
1650404034.7883017,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,149364736
1650404035.791896,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,149815296
1650404036.7946987,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,150224896
1650404037.7984567,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,150642688
1650404038.802164,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,151085056
1650404039.8057349,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,151511040
1650404040.809319,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,151928832
1650404041.8137438,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,152395776
1650404042.8173077,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,152829952
1650404043.8208425,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,153239552
1650404044.8243198,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,153665536
1650404045.8275766,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,154066944
1650404046.8343358,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,154402816
1650404047.837563,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,154738688
1650404048.8402915,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,155107328
1650404049.8439298,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,155508736
1650404050.8475785,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,155926528
1650404051.8507304,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,156327936
1650404052.8537962,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,156712960
1650404053.857735,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,157122560
1650404054.8612533,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,157507584
1650404055.8649683,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,157933568
1650404056.868607,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,158351360
1650404057.8722901,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,158752768
1650404058.8757863,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,159121408
1650404059.8794825,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,159580160
1650404060.883007,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,159989760
1650404061.8868282,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,160325632
1650404062.8902872,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,160710656
1650404063.8937454,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,161128448
1650404064.8973935,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,161513472
1650404065.9008741,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,161906688
1650404066.9045746,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,162324480
1650404067.9075847,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,162725888
1650404068.9118657,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,163151872
1650404069.9154007,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,163512320
1650404070.9187517,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,163897344
1650404071.921438,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,164323328
1650404072.9252973,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,164716544
1650404073.9294417,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,165068800
1650404074.9322636,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,165445632
1650404075.9358478,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,165855232
1650404076.93945,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,166232064
1650404077.9426706,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,166649856
1650404078.9468489,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,167034880
1650404079.950371,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,167452672
1650404080.9535255,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,167878656
1650404081.957278,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,168271872
1650404082.9609554,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,168640512
1650404083.9643548,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,169058304
1650404084.9675193,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,169443328
1650404085.970997,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,169844736
1650404086.9749012,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,170270720
1650404087.9784205,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,170713088
1650404088.9817393,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,171122688
1650404089.9852958,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,171515904
1650404090.9888077,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,171892736
1650404091.9916105,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,172302336
1650404092.9952357,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,172638208
1650404093.998808,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,173064192
1650404095.002563,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,173424640
1650404096.0059469,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,173826048
1650404097.0087655,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,174235648
1650404098.0130708,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,174571520
1650404099.016138,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,174948352
1650404100.019999,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,175300608
1650404101.0236692,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,175652864
1650404102.0272775,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,176054272
1650404103.0307536,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,176414720
1650404104.033393,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,176766976
1650404105.0374203,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,177152000
1650404106.0406327,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,177487872
1650404107.0460072,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,177848320
1650404108.0495927,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,178249728
1650404109.0530558,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,178618368
1650404110.0560205,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,178978816
1650404111.060206,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,179429376
1650404112.0638242,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,179814400
1650404113.0673952,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,180232192
1650404114.0723367,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,180609024
1650404115.0765548,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,180969472
1650404116.0801694,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,181362688
1650404117.0837343,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,181723136
1650404118.0879173,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,182083584
1650404119.0914447,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,182484992
1650404120.095174,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,182812672
1650404121.0988767,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,183156736
1650404122.1024292,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,183508992
1650404123.1059954,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,183836672
1650404124.1091413,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,184180736
1650404125.111906,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,184524800
1650404126.116729,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,184860672
1650404127.1202316,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,185237504
1650404128.1230154,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,185614336
1650404129.1268837,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,186023936
1650404130.1304812,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,186384384
1650404131.1340456,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,186744832
1650404132.1377296,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,187129856
1650404133.141321,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,187490304
1650404134.144925,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,187850752
1650404135.148542,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,188268544
1650404136.1521056,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,188686336
1650404137.155834,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,189087744
1650404138.1593945,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,189464576
1650404139.1630063,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,189874176
1650404140.1657705,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,190308352
1650404141.1697795,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,190636032
1650404142.1732113,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,191094784
1650404143.1775177,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,191471616
1650404144.1809916,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,191799296
1650404145.184756,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,192176128
1650404146.1885312,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,192577536
1650404147.1923425,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,192970752
1650404148.195935,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,193404928
1650404149.1994605,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,193781760
1650404150.2030258,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,194166784
1650404151.2057402,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,194535424
1650404152.2098987,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,194895872
1650404153.2134576,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,195256320
1650404154.2170684,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,195567616
1650404155.2205782,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,195928064
1650404156.2241387,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,196329472
1650404157.2281768,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,196632576
1650404158.2321346,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,196952064
1650404159.2358007,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,197279744
1650404160.2399669,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,197615616
1650404161.2427516,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,198008832
1650404162.2464132,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,198344704
1650404163.2497404,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,198656000
1650404164.2532089,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,198975488
1650404165.2566953,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,199303168
1650404166.2601986,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,199671808
1650404167.2697465,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,199991296
1650404168.2733037,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,200310784
1650404169.2767808,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,200654848
1650404170.280452,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,201048064
1650404171.2840471,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,201441280
1650404172.2875233,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,201818112
1650404173.2910814,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,202162176
1650404174.2945964,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,202498048
1650404175.2983725,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,202866688
1650404176.303045,public.usertable,16619,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,203177984
