ds,table_name,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count,pg_table_size
1650415167.6413786,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,128802816
1650415168.6449223,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,128851968
1650415169.6486642,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,129163264
1650415170.653445,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,129466368
1650415171.6590714,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,129736704
1650415172.6637714,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,130023424
1650415173.6675634,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,130334720
1650415174.6710994,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,130678784
1650415175.6760762,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,130965504
1650415176.6809258,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,131252224
1650415177.6848347,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,131538944
1650415178.6884747,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,131784704
1650415179.6922166,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,132046848
1650415180.6975305,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,132325376
1650415181.70259,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,132595712
1650415182.7069304,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,132890624
1650415183.7110267,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,133177344
1650415184.7150352,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,133521408
1650415185.7185903,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,133849088
1650415186.7217958,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,134152192
1650415187.7266004,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,134447104
1650415188.7303188,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,134733824
1650415189.734183,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,135028736
1650415190.739307,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,135315456
1650415191.7443304,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,135602176
1650415192.7477071,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,135880704
1650415193.751389,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,136110080
1650415194.7554057,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,136167424
1650415195.759311,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,136372224
1650415196.7630281,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,136609792
1650415197.7680666,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,136830976
1650415198.772866,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,137052160
1650415199.7765756,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,137355264
1650415200.7802463,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,137609216
1650415201.7839048,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,137879552
1650415202.7873871,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,138117120
1650415203.7915337,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,138371072
1650415204.7952454,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,138575872
1650415205.7992873,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,138878976
1650415206.8029149,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,139173888
1650415207.8059669,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,139460608
1650415208.8094797,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,139722752
1650415209.8131268,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,139960320
1650415210.8188314,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,140238848
1650415211.8227644,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,140517376
1650415212.8267097,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,140836864
1650415213.8303509,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,141123584
1650415214.8337338,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,141426688
1650415215.8372314,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,141746176
1650415216.84095,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,142082048
1650415217.8453062,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,142409728
1650415218.8492756,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,142761984
1650415219.8542116,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,143097856
1650415220.8581405,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,143466496
1650415221.8616326,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,143794176
1650415222.8655782,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,144130048
1650415223.8690183,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,144449536
1650415224.8728318,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,144793600
1650415225.8766465,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,145088512
1650415226.8806324,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,145383424
1650415227.8841205,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,145661952
1650415228.8877203,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,145924096
1650415229.8925188,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,146178048
1650415230.8966238,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,146456576
1650415231.9001305,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,146767872
1650415232.9051733,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,147103744
1650415233.9089417,public.usertable,16472,public,usertable,1,0,0,0,110000,0,0,0,110000,0,110000,110000,,,,,0,0,0,0,147406848
