ds,public.accounts,public.checking,public.savings
1650338089.084512,5463105536,2214936576,2214944768
1650338089.1856983,5463105536,2214936576,2214944768
1650338089.287322,5463105536,2214936576,2214944768
1650338089.3890285,5463105536,2214936576,2214944768
1650338089.4906647,5463105536,2214936576,2214944768
1650338089.5918522,5463105536,2214936576,2214944768
1650338089.6934834,5463105536,2214936576,2214944768
1650338089.794607,5463105536,2214936576,2214944768
1650338089.8962286,5463105536,2214936576,2214944768
1650338089.997291,5463105536,2214936576,2214944768
1650338090.0983782,5463105536,2214936576,2214944768
1650338090.1994076,5463105536,2214936576,2214944768
1650338090.3005762,5463105536,2214936576,2214944768
1650338090.4016478,5463105536,2214936576,2214944768
1650338090.502763,5463105536,2214936576,2214944768
1650338090.6038473,5463105536,2214936576,2214944768
1650338090.7049994,5463105536,2214936576,2214944768
1650338090.8061054,5463105536,2214936576,2214944768
1650338090.907171,5463105536,2214936576,2214944768
1650338091.008245,5463105536,2214936576,2214944768
1650338091.1094174,5463105536,2214936576,2214944768
1650338091.2105622,5463105536,2214936576,2214944768
1650338091.3117878,5463105536,2214936576,2214944768
1650338091.412915,5463105536,2214936576,2214944768
1650338091.5140126,5463105536,2214936576,2214944768
1650338091.6151402,5463105536,2214936576,2214944768
1650338091.716277,5463105536,2214936576,2214944768
1650338091.8173962,5463105536,2214936576,2214944768
1650338091.9185202,5463105536,2214944768,2214944768
1650338092.019626,5463105536,2214944768,2214944768
1650338092.1208138,5463105536,2214944768,2214944768
1650338092.2219493,5463105536,2214944768,2214944768
1650338092.323184,5463105536,2214944768,2214944768
1650338092.424257,5463105536,2214944768,2214944768
1650338092.5253727,5463105536,2214944768,2214944768
1650338092.6264837,5463105536,2214944768,2214944768
1650338092.7275732,5463105536,2214944768,2214944768
1650338092.828709,5463105536,2214944768,2214944768
1650338092.9299345,5463105536,2214944768,2214944768
1650338093.0311267,5463105536,2214944768,2214944768
1650338093.132284,5463105536,2214944768,2214944768
1650338093.2333977,5463105536,2214944768,2214944768
1650338093.334483,5463105536,2214944768,2214944768
1650338093.4355505,5463105536,2214944768,2214944768
1650338093.5366385,5463105536,2214944768,2214944768
1650338093.6377218,5463105536,2214944768,2214944768
1650338093.7388105,5463105536,2214944768,2214944768
1650338093.839936,5463105536,2214944768,2214944768
1650338093.941031,5463105536,2214952960,2214944768
1650338094.042109,5463105536,2214952960,2214944768
1650338094.1433096,5463105536,2214952960,2214944768
1650338094.2443929,5463105536,2214952960,2214944768
1650338094.3454769,5463105536,2214952960,2214944768
1650338094.4465718,5463105536,2214952960,2214944768
1650338094.5476499,5463105536,2214952960,2214944768
1650338094.6487641,5463105536,2214952960,2214944768
1650338094.7499576,5463105536,2214952960,2214944768
1650338094.851142,5463105536,2214952960,2214944768
1650338094.952301,5463105536,2214952960,2214944768
1650338095.0534,5463105536,2214952960,2214944768
1650338095.1544907,5463105536,2214952960,2214944768
1650338095.2555773,5463105536,2214952960,2214944768
1650338095.3566887,5463105536,2214952960,2214944768
1650338095.4577885,5463105536,2214952960,2214944768
1650338095.5589244,5463105536,2214952960,2214944768
1650338095.6600995,5463105536,2214952960,2214944768
1650338095.7612555,5463105536,2214961152,2214944768
1650338095.8624008,5463105536,2214961152,2214952960
1650338095.9634998,5463105536,2214961152,2214952960
1650338096.0649443,5463105536,2214961152,2214952960
1650338096.1660287,5463105536,2214961152,2214952960
1650338096.2671342,5463105536,2214961152,2214952960
1650338096.3684764,5463105536,2214961152,2214952960
1650338096.4696453,5463105536,2214961152,2214952960
1650338096.5708022,5463105536,2214961152,2214952960
1650338096.671916,5463105536,2214961152,2214952960
1650338096.7730358,5463105536,2214961152,2214952960
1650338096.8741446,5463105536,2214961152,2214952960
1650338096.9752657,5463105536,2214961152,2214952960
1650338097.076346,5463105536,2214961152,2214952960
1650338097.1774623,5463105536,2214961152,2214952960
1650338097.278579,5463105536,2214961152,2214952960
1650338097.379755,5463105536,2214961152,2214952960
1650338097.4810026,5463105536,2214961152,2214952960
1650338097.58208,5463105536,2214961152,2214952960
1650338097.6831648,5463105536,2214969344,2214952960
1650338097.7842226,5463105536,2214969344,2214952960
1650338097.8852887,5463105536,2214969344,2214952960
1650338097.9864328,5463105536,2214969344,2214952960
1650338098.087509,5463105536,2214969344,2214952960
1650338098.1886067,5463105536,2214969344,2214952960
1650338098.2897427,5463105536,2214969344,2214952960
1650338098.3908386,5463105536,2214969344,2214952960
1650338098.4919698,5463105536,2214969344,2214952960
1650338098.5931315,5463105536,2214969344,2214952960
1650338098.6942494,5463105536,2214969344,2214952960
1650338098.7953677,5463105536,2214969344,2214952960
1650338098.8964736,5463105536,2214969344,2214952960
1650338098.9976025,5463105536,2214969344,2214952960
1650338099.098693,5463105536,2214969344,2214952960
1650338099.199799,5463105536,2214969344,2214952960
1650338099.3008854,5463105536,2214969344,2214952960
1650338099.402425,5463105536,2214969344,2214952960
1650338099.5035071,5463105536,2214969344,2214952960
1650338099.604585,5463105536,2214977536,2214952960
1650338099.705655,5463105536,2214977536,2214952960
1650338099.8067415,5463105536,2214977536,2214952960
1650338099.907848,5463105536,2214977536,2214952960
1650338100.0090191,5463105536,2214977536,2214952960
1650338100.1102245,5463105536,2214977536,2214952960
1650338100.2114093,5463105536,2214977536,2214952960
1650338100.3125703,5463105536,2214977536,2214952960
1650338100.4136705,5463105536,2214977536,2214952960
1650338100.5147576,5463105536,2214977536,2214952960
1650338100.6158364,5463105536,2214977536,2214952960
1650338100.7173674,5463105536,2214977536,2214952960
1650338100.8184526,5463105536,2214977536,2214952960
1650338100.9195778,5463105536,2214977536,2214952960
1650338101.0207148,5463105536,2214977536,2214952960
1650338101.1218464,5463105536,2214977536,2214952960
1650338101.2229338,5463105536,2214977536,2214952960
1650338101.3240767,5463105536,2214977536,2214952960
1650338101.425219,5463105536,2214985728,2214952960
1650338101.5263638,5463105536,2214985728,2214952960
1650338101.6274946,5463105536,2214985728,2214952960
1650338101.728611,5463105536,2214985728,2214952960
1650338101.8297424,5463105536,2214985728,2214952960
1650338101.930892,5463105536,2214985728,2214952960
1650338102.0319846,5463105536,2214985728,2214952960
1650338102.133104,5463105536,2214985728,2214952960
1650338102.2342918,5463105536,2214985728,2214952960
1650338102.3353932,5463105536,2214985728,2214952960
1650338102.4364724,5463105536,2214985728,2214952960
1650338102.5375004,5463105536,2214985728,2214952960
1650338102.638574,5463105536,2214985728,2214952960
1650338102.7396867,5463105536,2214985728,2214961152
1650338102.8408356,5463105536,2214985728,2214961152
1650338102.941944,5463105536,2214985728,2214961152
1650338103.0430858,5463105536,2214985728,2214961152
1650338103.1441982,5463105536,2214985728,2214961152
1650338103.2453332,5463105536,2214985728,2214961152
1650338103.3464267,5463105536,2214993920,2214961152
1650338103.447537,5463105536,2214993920,2214961152
1650338103.5486875,5463105536,2214993920,2214961152
1650338103.6497338,5463105536,2214993920,2214961152
1650338103.75083,5463105536,2214993920,2214961152
1650338103.8519578,5463105536,2214993920,2214961152
1650338103.9530666,5463105536,2214993920,2214961152
1650338104.054179,5463105536,2214993920,2214961152
1650338104.1553292,5463105536,2214993920,2214961152
1650338104.2564428,5463105536,2214993920,2214961152
1650338104.3575523,5463105536,2214993920,2214961152
1650338104.4586983,5463105536,2214993920,2214961152
1650338104.5598304,5463105536,2214993920,2214961152
