ds,public.added_tweets,public.followers,public.follows,public.tweets,public.user_profiles
1650325517.302411,0,73728,73728,3850240,73728
1650325517.4040756,0,73728,73728,3850240,73728
1650325517.5057979,0,73728,73728,3850240,73728
1650325517.6074576,0,73728,73728,3850240,73728
1650325517.708981,0,73728,73728,3850240,73728
1650325517.810628,0,73728,73728,3850240,73728
1650325517.9123201,0,73728,73728,3850240,73728
1650325518.013543,0,73728,73728,3850240,73728
1650325518.1151516,0,73728,73728,3850240,73728
1650325518.2167325,0,73728,73728,3850240,73728
1650325518.3183794,0,73728,73728,3850240,73728
1650325518.4199562,0,73728,73728,3850240,73728
1650325518.5216284,0,73728,73728,3850240,73728
1650325518.622828,0,73728,73728,3850240,73728
1650325518.7240274,0,73728,73728,3850240,73728
1650325518.8256242,0,73728,73728,3850240,73728
1650325518.9271872,8192,73728,73728,3850240,73728
1650325519.0288148,8192,73728,73728,3850240,73728
1650325519.1299832,8192,73728,73728,3850240,73728
1650325519.231147,8192,73728,73728,3850240,73728
1650325519.3327177,8192,73728,73728,3850240,73728
1650325519.4340465,8192,73728,73728,3850240,73728
1650325519.5356164,8192,73728,73728,3850240,73728
1650325519.6372788,8192,73728,73728,3850240,73728
1650325519.7388449,8192,73728,73728,3850240,73728
1650325519.8404891,8192,73728,73728,3850240,73728
1650325519.9418058,40960,73728,73728,3850240,73728
1650325520.0433779,40960,73728,73728,3850240,73728
1650325520.1449528,40960,73728,73728,3850240,73728
1650325520.2466044,40960,73728,73728,3850240,73728
1650325520.3477747,40960,73728,73728,3850240,73728
1650325520.4491313,40960,73728,73728,3850240,73728
1650325520.5506294,49152,73728,73728,3850240,73728
1650325520.6518211,49152,73728,73728,3850240,73728
1650325520.7530253,49152,73728,73728,3850240,73728
1650325520.854193,49152,73728,73728,3850240,73728
1650325520.9556959,49152,73728,73728,3850240,73728
1650325521.0569158,57344,73728,73728,3850240,73728
1650325521.1580405,57344,73728,73728,3850240,73728
1650325521.2592018,57344,73728,73728,3850240,73728
1650325521.3603532,57344,73728,73728,3850240,73728
1650325521.4614563,57344,73728,73728,3850240,73728
1650325521.5626066,57344,73728,73728,3850240,73728
