ds,table_name,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count,pg_table_size
1650401143.2500262,public.customer,17287,public,customer,2,0,6000000,97106539,3000000,0,0,0,2999624,0,60000,360000,,2022-04-19 20:41:54.438578+00:00,,2022-04-19 20:44:48.352263+00:00,0,10,0,14,1859182592
1650401143.2500262,public.district,17277,public,district,998570,172100607,5001431,5001431,1000,0,0,0,1000,0,120,1000,,,,2022-04-19 20:41:46.281870+00:00,0,0,0,8,147456
1650401143.2500262,public.history,17300,public,history,0,0,,,3000000,0,0,0,3000000,0,240000,240000,,2022-04-19 20:43:06.522101+00:00,,2022-04-19 20:43:07.457782+00:00,0,10,0,13,258940928
1650401143.2500262,public.item,17257,public,item,1,0,10000000,10000000,100000,0,0,0,100000,0,0,0,,2022-04-19 20:20:47.094133+00:00,,2022-04-19 20:20:47.243844+00:00,0,1,0,1,10444800
1650401143.2500262,public.new_order,17327,public,new_order,1,0,0,0,900000,0,0,0,900000,0,63000,63000,,2022-04-19 20:43:50.975887+00:00,,2022-04-19 20:43:51.159922+00:00,0,10,0,15,39895040
1650401143.2500262,public.oorder,17314,public,oorder,3,0,30901892,30901892,3000000,0,0,0,2997932,0,188496,190672,,2022-04-19 20:43:49.993237+00:00,,2022-04-19 20:43:50.713871+00:00,0,10,0,14,197713920
1650401143.2500262,public.order_line,17337,public,order_line,1,0,0,0,30001892,0,0,0,29977381,0,2603188,2637236,,2022-04-19 20:43:25.560509+00:00,,2022-04-19 20:43:26.637761+00:00,0,11,0,15,3035185152
1650401143.2500262,public.stock,17262,public,stock,1,0,30001892,30001892,10000000,0,0,0,9977433,0,471872,800000,,2022-04-19 20:43:04.916171+00:00,,2022-04-19 20:43:48.788884+00:00,0,11,0,16,3556155392
1650401143.2500262,public.warehouse,17252,public,warehouse,4803339,367385336,5197662,5197662,100,0,0,0,100,0,48,100,,,,2022-04-19 20:32:46.131954+00:00,0,0,0,1,40960
1650401144.2530332,public.customer,17287,public,customer,2,0,6000000,97106539,3000000,0,0,0,2999624,0,60000,360000,,2022-04-19 20:41:54.438578+00:00,,2022-04-19 20:44:48.352263+00:00,0,10,0,14,1859207168
1650401144.2530332,public.district,17277,public,district,998570,172100607,5001431,5001431,1000,0,0,0,1000,0,120,1000,,,,2022-04-19 20:41:46.281870+00:00,0,0,0,8,155648
1650401144.2530332,public.history,17300,public,history,0,0,,,3000000,0,0,0,3000000,0,240000,240000,,2022-04-19 20:43:06.522101+00:00,,2022-04-19 20:43:07.457782+00:00,0,10,0,13,258940928
1650401144.2530332,public.item,17257,public,item,1,0,10000000,10000000,100000,0,0,0,100000,0,0,0,,2022-04-19 20:20:47.094133+00:00,,2022-04-19 20:20:47.243844+00:00,0,1,0,1,10444800
1650401144.2530332,public.new_order,17327,public,new_order,1,0,0,0,900000,0,0,0,900000,0,63000,63000,,2022-04-19 20:43:50.975887+00:00,,2022-04-19 20:43:51.159922+00:00,0,10,0,15,39895040
1650401144.2530332,public.oorder,17314,public,oorder,3,0,30901892,30901892,3000000,0,0,0,2997932,0,188496,190672,,2022-04-19 20:43:49.993237+00:00,,2022-04-19 20:43:50.713871+00:00,0,10,0,14,197713920
1650401144.2530332,public.order_line,17337,public,order_line,1,0,0,0,30001892,0,0,0,29977381,0,2603188,2637236,,2022-04-19 20:43:25.560509+00:00,,2022-04-19 20:43:26.637761+00:00,0,11,0,15,3035209728
1650401144.2530332,public.stock,17262,public,stock,1,0,30001892,30001892,10000000,0,0,0,9977433,0,471872,800000,,2022-04-19 20:43:04.916171+00:00,,2022-04-19 20:43:48.788884+00:00,0,11,0,16,3556188160
1650401144.2530332,public.warehouse,17252,public,warehouse,4803339,367385336,5197662,5197662,100,0,0,0,100,0,48,100,,,,2022-04-19 20:32:46.131954+00:00,0,0,0,1,40960
1650401145.2565584,public.customer,17287,public,customer,2,0,6000000,97106539,3000000,0,0,0,2999624,0,60000,360000,,2022-04-19 20:41:54.438578+00:00,,2022-04-19 20:44:48.352263+00:00,0,10,0,14,1859239936
1650401145.2565584,public.district,17277,public,district,998570,172100607,5001431,5001431,1000,0,0,0,1000,0,120,1000,,,,2022-04-19 20:41:46.281870+00:00,0,0,0,8,155648
1650401145.2565584,public.history,17300,public,history,0,0,,,3000000,0,0,0,3000000,0,240000,240000,,2022-04-19 20:43:06.522101+00:00,,2022-04-19 20:43:07.457782+00:00,0,10,0,13,258940928
1650401145.2565584,public.item,17257,public,item,1,0,10000000,10000000,100000,0,0,0,100000,0,0,0,,2022-04-19 20:20:47.094133+00:00,,2022-04-19 20:20:47.243844+00:00,0,1,0,1,10444800
1650401145.2565584,public.new_order,17327,public,new_order,1,0,0,0,900000,0,0,0,900000,0,63000,63000,,2022-04-19 20:43:50.975887+00:00,,2022-04-19 20:43:51.159922+00:00,0,10,0,15,39895040
1650401145.2565584,public.oorder,17314,public,oorder,3,0,30901892,30901892,3000000,0,0,0,2997932,0,188496,190672,,2022-04-19 20:43:49.993237+00:00,,2022-04-19 20:43:50.713871+00:00,0,10,0,14,197713920
1650401145.2565584,public.order_line,17337,public,order_line,1,0,0,0,30001892,0,0,0,29977381,0,2603188,2637236,,2022-04-19 20:43:25.560509+00:00,,2022-04-19 20:43:26.637761+00:00,0,11,0,15,3035242496
1650401145.2565584,public.stock,17262,public,stock,1,0,30001892,30001892,10000000,0,0,0,9977433,0,471872,800000,,2022-04-19 20:43:04.916171+00:00,,2022-04-19 20:43:48.788884+00:00,0,11,0,16,3556237312
1650401145.2565584,public.warehouse,17252,public,warehouse,4803339,367385336,5197662,5197662,100,0,0,0,100,0,48,100,,,,2022-04-19 20:32:46.131954+00:00,0,0,0,1,40960
1650401146.260034,public.customer,17287,public,customer,2,0,6000000,97106539,3000000,0,0,0,2999624,0,60000,360000,,2022-04-19 20:41:54.438578+00:00,,2022-04-19 20:44:48.352263+00:00,0,10,0,14,1859239936
1650401146.260034,public.district,17277,public,district,998570,172100607,5001431,5001431,1000,0,0,0,1000,0,120,1000,,,,2022-04-19 20:41:46.281870+00:00,0,0,0,8,155648
1650401146.260034,public.history,17300,public,history,0,0,,,3000000,0,0,0,3000000,0,240000,240000,,2022-04-19 20:43:06.522101+00:00,,2022-04-19 20:43:07.457782+00:00,0,10,0,13,258940928
1650401146.260034,public.item,17257,public,item,1,0,10000000,10000000,100000,0,0,0,100000,0,0,0,,2022-04-19 20:20:47.094133+00:00,,2022-04-19 20:20:47.243844+00:00,0,1,0,1,10444800
1650401146.260034,public.new_order,17327,public,new_order,1,0,0,0,900000,0,0,0,900000,0,63000,63000,,2022-04-19 20:43:50.975887+00:00,,2022-04-19 20:43:51.159922+00:00,0,10,0,15,39895040
1650401146.260034,public.oorder,17314,public,oorder,3,0,30901892,30901892,3000000,0,0,0,2997932,0,188496,190672,,2022-04-19 20:43:49.993237+00:00,,2022-04-19 20:43:50.713871+00:00,0,10,0,14,197713920
1650401146.260034,public.order_line,17337,public,order_line,1,0,0,0,30001892,0,0,0,29977381,0,2603188,2637236,,2022-04-19 20:43:25.560509+00:00,,2022-04-19 20:43:26.637761+00:00,0,11,0,15,3035242496
1650401146.260034,public.stock,17262,public,stock,1,0,30001892,30001892,10000000,0,0,0,9977433,0,471872,800000,,2022-04-19 20:43:04.916171+00:00,,2022-04-19 20:43:48.788884+00:00,0,11,0,16,3556237312
1650401146.260034,public.warehouse,17252,public,warehouse,4803339,367385336,5197662,5197662,100,0,0,0,100,0,48,100,,,,2022-04-19 20:32:46.131954+00:00,0,0,0,1,40960
1650401147.2634284,public.customer,17287,public,customer,2,0,6000000,97106539,3000000,0,0,0,2999624,0,60000,360000,,2022-04-19 20:41:54.438578+00:00,,2022-04-19 20:44:48.352263+00:00,0,10,0,14,1859239936
1650401147.2634284,public.district,17277,public,district,998570,172100607,5001431,5001431,1000,0,0,0,1000,0,120,1000,,,,2022-04-19 20:41:46.281870+00:00,0,0,0,8,155648
1650401147.2634284,public.history,17300,public,history,0,0,,,3000000,0,0,0,3000000,0,240000,240000,,2022-04-19 20:43:06.522101+00:00,,2022-04-19 20:43:07.457782+00:00,0,10,0,13,258940928
1650401147.2634284,public.item,17257,public,item,1,0,10000000,10000000,100000,0,0,0,100000,0,0,0,,2022-04-19 20:20:47.094133+00:00,,2022-04-19 20:20:47.243844+00:00,0,1,0,1,10444800
1650401147.2634284,public.new_order,17327,public,new_order,1,0,0,0,900000,0,0,0,900000,0,63000,63000,,2022-04-19 20:43:50.975887+00:00,,2022-04-19 20:43:51.159922+00:00,0,10,0,15,39895040
1650401147.2634284,public.oorder,17314,public,oorder,3,0,30901892,30901892,3000000,0,0,0,2997932,0,188496,190672,,2022-04-19 20:43:49.993237+00:00,,2022-04-19 20:43:50.713871+00:00,0,10,0,14,197713920
1650401147.2634284,public.order_line,17337,public,order_line,1,0,0,0,30001892,0,0,0,29977381,0,2603188,2637236,,2022-04-19 20:43:25.560509+00:00,,2022-04-19 20:43:26.637761+00:00,0,11,0,15,3035242496
1650401147.2634284,public.stock,17262,public,stock,1,0,30001892,30001892,10000000,0,0,0,9977433,0,471872,800000,,2022-04-19 20:43:04.916171+00:00,,2022-04-19 20:43:48.788884+00:00,0,11,0,16,3556237312
