ds,public.customer,public.district,public.history,public.item,public.new_order,public.oorder,public.order_line,public.stock,public.warehouse
1648611281.179242,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.181339,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.1833792,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.185343,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.187341,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.1892722,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.191227,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.1932864,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.1952565,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.197346,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.1994715,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2016165,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2036967,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.205739,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2078757,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2098882,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2119741,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2140272,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2160776,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2180383,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2200089,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.222126,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2242208,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2262964,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2282693,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2304018,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2324536,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.234509,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2366211,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2387202,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2407806,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2429261,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.244975,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2470853,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.249307,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2512796,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2531757,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2551527,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2570615,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.258987,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2608685,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2627451,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
1648611281.2646022,18636800,8192,2621440,10444800,434176,2015232,30384128,35594240,8192
