ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650447660.1070573,public.access_info,9998840,0,521953280,16896,public,access_info,1,0,0,0,10000000,0,0,0,9998840,0,57600,59136,,2022-04-20 09:40:39.843750+00:00,,2022-04-20 09:40:40.499545+00:00,0,16,0,25
1650447660.1070573,public.call_forwarding,18742925,0,1129717760,16916,public,call_forwarding,2,0,0,0,18749635,0,0,0,18742925,0,473093,3532443,,2022-04-20 08:58:38.934388+00:00,,2022-04-20 09:01:39.638032+00:00,0,10,0,15
1650447660.1070573,public.special_facility,12484575,0,651968512,16906,public,special_facility,1,0,18749635,18749635,12491091,0,0,0,12484575,0,321628,2358705,,2022-04-20 08:58:38.220456+00:00,,2022-04-20 09:01:39.009800+00:00,0,10,0,15
1650447660.1070573,public.subscriber,5000191,0,585392128,16889,public,subscriber,2,0,22491091,22491091,5000000,0,0,0,5000191,0,0,0,,2022-04-20 08:43:37.936658+00:00,,2022-04-20 08:43:38.893600+00:00,0,4,0,4
1650447661.1234941,public.access_info,9998840,0,521953280,16896,public,access_info,1,0,0,0,10000000,0,0,0,9998840,0,57600,59136,,2022-04-20 09:40:39.843750+00:00,,2022-04-20 09:40:40.499545+00:00,0,16,0,25
1650447661.1234941,public.call_forwarding,18742925,0,1129725952,16916,public,call_forwarding,2,0,0,0,18749635,0,0,0,18742925,0,473093,3532443,,2022-04-20 08:58:38.934388+00:00,,2022-04-20 09:01:39.638032+00:00,0,10,0,15
1650447661.1234941,public.special_facility,12484575,0,651968512,16906,public,special_facility,1,0,18749635,18749635,12491091,0,0,0,12484575,0,321628,2358705,,2022-04-20 08:58:38.220456+00:00,,2022-04-20 09:01:39.009800+00:00,0,10,0,15
1650447661.1234941,public.subscriber,5000191,0,585392128,16889,public,subscriber,2,0,22491091,22491091,5000000,0,0,0,5000191,0,0,0,,2022-04-20 08:43:37.936658+00:00,,2022-04-20 08:43:38.893600+00:00,0,4,0,4
1650447662.1503215,public.access_info,9998840,0,521953280,16896,public,access_info,1,0,920,470,10000000,0,0,0,9998840,0,57600,59136,,2022-04-20 09:40:39.843750+00:00,,2022-04-20 09:40:40.499545+00:00,0,16,0,25
1650447662.1503215,public.call_forwarding,18742932,46,1129725952,16916,public,call_forwarding,2,0,356,429,18749688,0,10,0,18742932,46,473120,3532496,,2022-04-20 08:58:38.934388+00:00,,2022-04-20 09:01:39.638032+00:00,0,10,0,15
