ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650437509.5268664,public.customer,1500348,0,929685504,16540,public,customer,2,0,3000000,3577490,1500000,0,0,0,1500348,0,150000,150000,,2022-04-20 06:49:57.155603+00:00,,2022-04-20 06:49:58.906381+00:00,0,8,0,10
1650437509.5268664,public.district,500,0,90112,16530,public,district,1,0,3000000,3000000,500,0,0,0,500,0,50,500,,,,2022-04-20 06:49:56.520207+00:00,0,0,0,5
1650437509.5268664,public.history,1499271,0,129490944,16553,public,history,0,0,,,1500000,0,0,0,1499271,0,56032,59488,,2022-04-20 06:50:49.467719+00:00,,2022-04-20 06:50:49.881876+00:00,0,8,0,11
1650437509.5268664,public.item,100000,0,10444800,16510,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-20 06:37:50.495055+00:00,,2022-04-20 06:37:50.707147+00:00,0,1,0,1
1650437509.5268664,public.new_order,450000,0,19963904,16580,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-20 06:50:50.254640+00:00,,2022-04-20 06:50:50.341134+00:00,0,8,0,11
1650437509.5268664,public.oorder,1500000,0,98877440,16567,public,oorder,3,0,15443065,15443065,1500000,0,0,0,1500000,0,60000,300000,,2022-04-20 06:48:49.776096+00:00,,2022-04-20 06:50:50.218488+00:00,0,8,0,11
1650437509.5268664,public.order_line,14974842,0,1517707264,16590,public,order_line,1,0,0,0,14993065,0,0,0,14974842,0,809406,833342,,2022-04-20 06:50:52.559566+00:00,,2022-04-20 06:50:53.454844+00:00,0,9,0,12
1650437509.5268664,public.stock,4965635,0,1778139136,16515,public,stock,1,0,14993065,14993065,5000000,0,0,0,4965635,0,439840,479264,,2022-04-20 06:49:53.855234+00:00,,2022-04-20 06:49:56.504626+00:00,0,9,0,11
1650437509.5268664,public.warehouse,50,0,204800,16505,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0
1650437510.543468,public.customer,1500348,0,929685504,16540,public,customer,2,0,3000000,3577490,1500000,0,0,0,1500348,0,150000,150000,,2022-04-20 06:49:57.155603+00:00,,2022-04-20 06:49:58.906381+00:00,0,8,0,10
1650437510.543468,public.district,500,0,90112,16530,public,district,1,0,3000000,3000000,500,0,0,0,500,0,50,500,,,,2022-04-20 06:49:56.520207+00:00,0,0,0,5
1650437510.543468,public.history,1499271,0,129490944,16553,public,history,0,0,,,1500000,0,0,0,1499271,0,56032,59488,,2022-04-20 06:50:49.467719+00:00,,2022-04-20 06:50:49.881876+00:00,0,8,0,11
1650437510.543468,public.item,100000,0,10444800,16510,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-20 06:37:50.495055+00:00,,2022-04-20 06:37:50.707147+00:00,0,1,0,1
1650437510.543468,public.new_order,450000,0,19963904,16580,public,new_order,1,0,0,0,450000,0,0,0,450000,0,18000,18000,,2022-04-20 06:50:50.254640+00:00,,2022-04-20 06:50:50.341134+00:00,0,8,0,11
1650437510.543468,public.oorder,1500000,0,98877440,16567,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,60000,300000,,2022-04-20 06:48:49.776096+00:00,,2022-04-20 06:50:50.218488+00:00,0,8,0,11
1650437510.543468,public.order_line,14983498,0,1517715456,16590,public,order_line,1,0,0,0,15001721,0,0,0,14983498,0,818062,841998,,2022-04-20 06:50:52.559566+00:00,,2022-04-20 06:50:53.454844+00:00,0,9,0,12
1650437510.543468,public.stock,4965635,0,1778155520,16515,public,stock,1,0,15001721,15001721,5000000,0,0,0,4965635,0,439840,479264,,2022-04-20 06:49:53.855234+00:00,,2022-04-20 06:49:56.504626+00:00,0,9,0,11
1650437510.543468,public.warehouse,50,0,204800,16505,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0
1650437511.5765035,public.customer,1500221,0,929693696,16540,public,customer,2,0,3000000,3577490,1500000,0,0,0,1500221,0,0,150000,,2022-04-20 06:49:57.155603+00:00,,2022-04-20 06:51:50.968898+00:00,0,8,0,11
1650437511.5765035,public.district,500,0,90112,16530,public,district,1,0,3000000,3000000,500,0,0,0,500,0,50,500,,,,2022-04-20 06:49:56.520207+00:00,0,0,0,5
1650437511.5765035,public.history,1499271,0,129490944,16553,public,history,0,0,,,1500000,0,0,0,1499271,0,56032,59488,,2022-04-20 06:50:49.467719+00:00,,2022-04-20 06:50:49.881876+00:00,0,8,0,11
