ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650448302.0363886,public.usertable,50000,0,58556416,16943,public,usertable,1,0,0,0,50000,0,0,0,50000,0,50000,50000,,,,,0,0,0,0
1650448303.0507603,public.usertable,50000,0,58638336,16943,public,usertable,1,0,1,1,50000,0,0,0,50000,0,50000,50000,,,,,0,0,0,0
1650448304.0794592,public.usertable,49963,398,59097088,16943,public,usertable,1,0,1990,46473,50097,299,134,76,49963,398,50530,50097,,,,,0,0,0,0
1650448305.1118798,public.usertable,49923,894,59588608,16943,public,usertable,1,0,4905,97864,50238,654,315,163,49923,894,51207,50238,,,,,0,0,0,0
1650448306.1387289,public.usertable,49894,1395,60112896,16943,public,usertable,1,0,8404,150642,50396,1014,502,272,49894,1395,51912,50396,,,,,0,0,0,0
1650448307.1655507,public.usertable,49888,1894,60612608,16943,public,usertable,1,0,12129,204736,50574,1379,686,377,49888,1894,52639,50574,,,,,0,0,0,0
1650448308.1917565,public.usertable,49913,2343,61095936,16943,public,usertable,1,0,15831,258251,50758,1722,845,478,49913,2343,53325,50758,,,,,0,0,0,0
1650448309.2168357,public.usertable,49937,2797,61587456,16943,public,usertable,1,0,19642,303126,50959,2035,1022,590,49937,2797,54016,50959,,,,,0,0,0,0
1650448310.2435176,public.usertable,49932,3260,62062592,16943,public,usertable,1,0,23454,355403,51141,2356,1209,691,49932,3260,54706,51141,,,,,0,0,0,0
1650448311.2702692,public.usertable,49968,3919,62537728,16943,public,usertable,1,0,29638,426474,51426,2833,1458,866,49968,3919,55717,51426,,,,,0,0,0,0
1650448312.296334,public.usertable,49993,4330,62996480,16943,public,usertable,1,0,33642,475199,51605,3150,1612,975,49993,4330,56367,51605,,,,,0,0,0,0
1650448313.3219137,public.usertable,50006,4753,63455232,16943,public,usertable,1,0,37696,516853,51793,3429,1787,1071,50006,4753,57009,51793,,,,,0,0,0,0
1650448314.3463898,public.usertable,50063,5198,63971328,16943,public,usertable,1,0,41803,552092,52006,3763,1943,1183,50063,5198,57712,52006,,,,,0,0,0,0
1650448315.3709793,public.usertable,50117,5595,64430080,16943,public,usertable,1,0,46223,595321,52199,4079,2082,1311,50117,5595,58360,52199,,,,,0,0,0,0
1650448316.3975189,public.usertable,50124,5826,64897024,16943,public,usertable,1,0,48452,615570,52298,4236,2174,1365,50124,5826,58708,52298,,,,,0,0,0,0
1650448317.4136286,public.usertable,50161,340,64913408,16943,public,usertable,1,0,54705,678394,52586,4694,2387,1586,50161,340,319,191,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448318.4382205,public.usertable,50212,788,64913408,16943,public,usertable,1,0,58978,720496,52779,5014,2529,1771,50212,788,974,384,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448319.4639688,public.usertable,50283,1150,64913408,16943,public,usertable,1,0,63082,760955,52974,5271,2653,1901,50283,1150,1550,579,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
