ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650435777.159199,public.customer,1500000,0,929669120,16603,public,customer,2,0,3000000,3000000,1500000,0,0,0,1500000,0,1500000,1500000,,,,,0,0,0,0
1650435777.159199,public.district,500,0,90112,16593,public,district,1,0,3000000,3000000,500,0,0,0,500,0,500,500,,,,,0,0,0,0
1650435777.159199,public.history,1500000,0,129572864,16616,public,history,0,0,,,1500000,0,0,0,1500000,0,1500000,1500000,,,,,0,0,0,0
1650435777.159199,public.item,100000,0,10436608,16573,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,100000,100000,,,,,0,0,0,0
1650435777.159199,public.new_order,450000,0,19980288,16643,public,new_order,1,0,0,0,450000,0,0,0,450000,0,450000,450000,,,,,0,0,0,0
1650435777.159199,public.oorder,1500000,0,99000320,16630,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,1500000,1500000,,,,,0,0,0,0
1650435777.159199,public.order_line,15001721,0,1517756416,16653,public,order_line,1,0,0,0,15001721,0,0,0,15001721,0,15001721,15001721,,,,,0,0,0,0
1650435777.159199,public.stock,5000000,0,1778180096,16578,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000000,0,5000000,5000000,,,,,0,0,0,0
1650435777.159199,public.warehouse,50,0,8192,16568,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0
1650435778.1777043,public.customer,1500000,0,929669120,16603,public,customer,2,0,3000000,3000000,1500000,0,0,0,1500000,0,1500000,1500000,,,,,0,0,0,0
1650435778.1777043,public.district,500,0,90112,16593,public,district,1,0,3000000,3000000,500,0,0,0,500,0,500,500,,,,,0,0,0,0
1650435778.1777043,public.history,1500000,0,129572864,16616,public,history,0,0,,,1500000,0,0,0,1500000,0,1500000,1500000,,,,,0,0,0,0
1650435778.1777043,public.item,100000,0,10436608,16573,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,100000,100000,,,,,0,0,0,0
1650435778.1777043,public.new_order,450000,0,19980288,16643,public,new_order,1,0,0,0,450000,0,0,0,450000,0,450000,450000,,,,,0,0,0,0
1650435778.1777043,public.oorder,1500000,0,99000320,16630,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,1500000,1500000,,,,,0,0,0,0
1650435778.1777043,public.order_line,15001721,0,1517756416,16653,public,order_line,1,0,0,0,15001721,0,0,0,15001721,0,15001721,15001721,,,,,0,0,0,0
1650435778.1777043,public.stock,5000000,0,1778180096,16578,public,stock,1,0,15001721,15001721,5000000,0,0,0,5000000,0,5000000,5000000,,,,,0,0,0,0
1650435778.1777043,public.warehouse,50,0,8192,16568,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0
1650435779.2079074,public.customer,1500000,79,929718272,16603,public,customer,2,0,3000290,3000315,1500000,79,0,1,1500000,79,1500079,1500000,,,,,0,0,0,0
1650435779.2079074,public.district,500,18,90112,16593,public,district,1,0,3000258,3000258,500,100,0,100,500,18,599,500,,,,,0,0,0,0
1650435779.2079074,public.history,1500049,0,129572864,16616,public,history,0,0,,,1500049,0,0,0,1500049,0,1500049,1500049,,,,,0,0,0,0
1650435779.2079074,public.item,100000,0,10436608,16573,public,item,1,0,5000487,5000486,100000,0,0,0,100000,0,100000,100000,,,,,0,0,0,0
1650435779.2079074,public.new_order,450020,31,19980288,16643,public,new_order,1,0,60,60,450051,0,30,0,450020,31,450080,450051,,,,,0,0,0,0
1650435779.2079074,public.oorder,1500050,21,99008512,16630,public,oorder,3,0,15452310,15452310,1500051,30,0,20,1500050,21,1500080,1500051,,,,,0,0,0,0
1650435779.2079074,public.order_line,15002197,224,1517830144,16653,public,order_line,1,0,71,2502,15002197,289,0,141,15002197,224,15002486,15002197,,,,,0,0,0,0
1650435779.2079074,public.stock,5000000,421,1778327552,16578,public,stock,1,0,15005071,15005071,5000000,476,0,96,5000000,421,5000476,5000000,,,,,0,0,0,0
1650435779.2079074,public.warehouse,50,4,8192,16568,public,warehouse,1,0,5000649,5000649,50,49,0,49,50,4,99,50,,,,,0,0,0,0
