ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650434052.4049313,public.usertable,50000,0,58556416,16560,public,usertable,1,0,0,0,50000,0,0,0,50000,0,50000,50000,,,,,0,0,0,0
1650434053.4217548,public.usertable,50000,0,58638336,16560,public,usertable,1,0,1,1,50000,0,0,0,50000,0,50000,50000,,,,,0,0,0,0
1650434054.4503024,public.usertable,50062,210,58974208,16560,public,usertable,1,0,494,5122,50178,96,116,9,50062,210,50390,50178,,,,,0,0,0,0
1650434055.4800375,public.usertable,50135,409,59252736,16560,public,usertable,1,0,1034,14340,50359,189,224,28,50135,409,50772,50359,,,,,0,0,0,0
1650434056.5119386,public.usertable,50178,602,59555840,16560,public,usertable,1,0,1588,21846,50535,250,357,38,50178,602,51142,50535,,,,,0,0,0,0
1650434057.54133,public.usertable,50281,771,59850752,16560,public,usertable,1,0,2096,30522,50745,314,464,52,50281,771,51523,50745,,,,,0,0,0,0
1650434058.5725543,public.usertable,50387,941,60178432,16560,public,usertable,1,0,2647,37124,50951,386,564,72,50387,941,51901,50951,,,,,0,0,0,0
1650434059.6022775,public.usertable,50486,1119,60497920,16560,public,usertable,1,0,3262,45475,51154,468,668,90,50486,1119,52290,51154,,,,,0,0,0,0
1650434060.6320775,public.usertable,50573,1294,60801024,16560,public,usertable,1,0,3877,58248,51341,549,768,106,50573,1294,52658,51341,,,,,0,0,0,0
1650434061.6634705,public.usertable,50686,1445,61087744,16560,public,usertable,1,0,4429,65897,51535,626,849,118,50686,1445,53010,51535,,,,,0,0,0,0
1650434062.6917949,public.usertable,50855,1640,61366272,16560,public,usertable,1,0,5240,72962,51812,721,957,144,50855,1640,53490,51812,,,,,0,0,0,0
1650434063.7203684,public.usertable,51002,1761,61677568,16560,public,usertable,1,0,5793,79942,52028,776,1026,153,51002,1761,53830,52028,,,,,0,0,0,0
1650434064.7487357,public.usertable,51133,1902,61997056,16560,public,usertable,1,0,6335,85711,52244,833,1111,163,51133,1902,54188,52244,,,,,0,0,0,0
1650434065.7792084,public.usertable,51243,2072,62324736,16560,public,usertable,1,0,6908,91881,52450,911,1207,183,51243,2072,54568,52450,,,,,0,0,0,0
1650434066.8077369,public.usertable,51395,2226,62668800,16560,public,usertable,1,0,7587,99542,52681,990,1286,198,51395,2226,54957,52681,,,,,0,0,0,0
1650434067.8372395,public.usertable,51536,2386,63012864,16560,public,usertable,1,0,8222,104382,52904,1076,1368,221,51536,2386,55348,52904,,,,,0,0,0,0
1650434068.8666086,public.usertable,51691,2527,63373312,16560,public,usertable,1,0,8861,110311,53141,1143,1450,235,51691,2527,55734,53141,,,,,0,0,0,0
1650434069.8955183,public.usertable,51848,2666,63709184,16560,public,usertable,1,0,9512,116396,53383,1205,1535,252,51848,2666,56123,53383,,,,,0,0,0,0
1650434070.9257112,public.usertable,52004,2800,64036864,16560,public,usertable,1,0,10126,122065,53616,1268,1612,266,52004,2800,56496,53616,,,,,0,0,0,0
1650434071.9540837,public.usertable,52171,2927,64380928,16560,public,usertable,1,0,10729,130022,53848,1330,1677,279,52171,2927,56855,53848,,,,,0,0,0,0
1650434072.983951,public.usertable,52359,3069,64765952,16560,public,usertable,1,0,11380,134291,54116,1394,1757,298,52359,3069,57267,54116,,,,,0,0,0,0
1650434074.0148962,public.usertable,52519,3211,65093632,16560,public,usertable,1,0,12018,141978,54356,1460,1837,321,52519,3211,57653,54356,,,,,0,0,0,0
1650434075.0437908,public.usertable,52678,3350,65437696,16560,public,usertable,1,0,12640,146934,54610,1506,1932,335,52678,3350,58048,54610,,,,,0,0,0,0
1650434076.0733485,public.usertable,52836,3485,65789952,16560,public,usertable,1,0,13283,152143,54851,1560,2015,347,52836,3485,58426,54851,,,,,0,0,0,0
1650434077.104887,public.usertable,52990,3633,66101248,16560,public,usertable,1,0,13965,161701,55088,1630,2098,371,52990,3633,58816,55088,,,,,0,0,0,0
1650434078.135807,public.usertable,53126,3775,66437120,16560,public,usertable,1,0,14603,165975,55297,1703,2171,395,53126,3775,59171,55297,,,,,0,0,0,0
1650434079.163988,public.usertable,53266,3914,66740224,16560,public,usertable,1,0,15231,173333,55525,1764,2259,410,53266,3914,59548,55525,,,,,0,0,0,0
1650434080.1976995,public.usertable,53394,4044,67059712,16560,public,usertable,1,0,15773,178103,55722,1831,2328,433,53394,4044,59881,55722,,,,,0,0,0,0
1650434081.2266138,public.usertable,53668,4262,67461120,16560,public,usertable,1,0,16893,185343,56123,1935,2455,466,53668,4262,60513,56123,,,,,0,0,0,0
1650434082.2563515,public.usertable,53838,4390,67813376,16560,public,usertable,1,0,17515,193126,56371,1987,2533,478,53838,4390,60891,56371,,,,,0,0,0,0
1650434083.2898862,public.usertable,53961,4483,68034560,16560,public,usertable,1,0,17912,196824,56549,2026,2588,491,53961,4483,61163,56549,,,,,0,0,0,0
1650434084.3196895,public.usertable,54136,4612,68378624,16560,public,usertable,1,0,18630,202453,56798,2084,2662,509,54136,4612,61544,56798,,,,,0,0,0,0
1650434085.3488822,public.usertable,54312,4742,68730880,16560,public,usertable,1,0,19291,208025,57039,2153,2727,531,54312,4742,61919,57039,,,,,0,0,0,0
1650434086.3795927,public.usertable,54517,4869,69099520,16560,public,usertable,1,0,20026,211879,57317,2215,2800,549,54517,4869,62332,57317,,,,,0,0,0,0
