ds,public.customer,public.district,public.history,public.item,public.new_order,public.oorder,public.order_line,public.stock,public.warehouse
1648692007.5191145,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5211601,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.523153,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5251997,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5272093,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5291498,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.531142,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5330493,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.535061,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5369596,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5389764,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5410047,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5430217,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5450249,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.547001,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5489204,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5509796,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.552975,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5550535,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5571003,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5591028,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5610557,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5630171,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5649529,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5668786,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5687919,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5707216,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5725985,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5745223,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5764718,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5784173,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.580351,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5823007,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5843966,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.586587,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.588604,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5907702,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.592885,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5950449,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5971115,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.5991857,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6012058,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6031542,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6050336,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.606928,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6087816,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6107228,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6127334,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.614671,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6165793,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.618715,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6208181,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.622769,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6247175,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6266854,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.628636,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6305523,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6325712,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6345413,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6365435,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6385095,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.640511,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6425154,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6444986,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6464477,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6483319,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.650285,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.652204,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6542177,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6562235,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6581893,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6601884,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
1648692007.6621392,18604032,8192,2621440,10436608,425984,2007040,30375936,35586048,8192
